App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,Rating
30 Day Fitness Challenge - Workout at Home,"It'd great u added exercises. I mean chest, back, shoulders.",Positive,0.1625,0.4791666666666667,4.8
30 Day Fitness Challenge - Workout at Home,Some times exercises match designated body parts aim work on. But still great all.,Positive,0.8,0.75,4.8
30 Day Fitness Challenge - Workout at Home,Helped get ideal body I wanted,Positive,0.9,1.0,4.8
30 Day Fitness Challenge - Workout at Home,"Always challenging definetly worth it. I feel energetic ""loose"" day. Made better power too. It puts little ease tells almost gives good advice.",Positive,0.3193681318681319,0.4956043956043956,4.8
30 Day Fitness Challenge - Workout at Home,Very challenging. Best workout far. Love,Positive,0.5625,0.725,4.8
30 Day Fitness Challenge - Workout at Home,"I'm disappointed confusing I'm able understanding level beginner intermediate & advance exercise, audio also working well workout, full body workout content available, 100% full body workout & accurate way, something satisfaction",Positive,0.1357142857142857,0.5583333333333333,4.8
30 Day Fitness Challenge - Workout at Home,"Really good, shows workout moves!",Positive,0.875,0.6000000000000001,4.8
30 Day Fitness Challenge - Workout at Home,Have fun ... Brother ... make a lot of fun ... Thanks,Positive,0.2666666666666666,0.2,4.8
30 Day Fitness Challenge - Workout at Home,Great personal training,Positive,0.4,0.525,4.8
30 Day Fitness Challenge - Workout at Home,Very helpful!,Positive,0.25,0.3,4.8
30 Day Fitness Challenge - Workout at Home,"I've tried multiple workout I seem always come back one. The workouts categorized gives much break need workouts, also rest day. I really liked starts easy progresses days go by. It also connects Google Fit !",Positive,0.2888888888888889,0.3722222222222222,4.8
30 Day Fitness Challenge - Workout at Home,I started I find motivation go gym. I found 30 days good way keeping gave lot motivation. Something I usually struggle with. I calorie controlled diet (because I can't give chocolate) 2 months I lost stone! I started medium silver complete hard silver. I side plank 10 seconds started hold 60 seconds! Not sure I go I certainly improved thanks app!,Positive,0.0481717687074829,0.4931405895691609,4.8
30 Day Fitness Challenge - Workout at Home,"I really enjoy app, I love workout options. The workouts get challenging progress, I feel getting stronger. I wanted pay app, I saw reviews year stating free version options. I would like buy, I'll wait ensure bugs fixed first.",Positive,0.3583333333333333,0.5722222222222223,4.8
30 Day Fitness Challenge - Workout at Home,"Can please tell me, I really confused ,how weight loss? Should follow easy ,medium hard levels daily complete monthly?",Negative,-0.0316666666666666,0.4949999999999999,4.8
30 Day Fitness Challenge - Workout at Home,"This good gym instructor.it covers home exercises,very easily effectively.if left exercises days remind come back.It provide exercise may look effect 3 weeks.I love app.I thankful designer,thanks much.",Positive,0.3666666666666666,0.4466666666666667,4.8
30 Day Fitness Challenge - Workout at Home,It's easy use! Perfect people looking workout home. You make easy hard want. Do category make longer workout like.,Positive,0.4208333333333333,0.8020833333333334,4.8
30 Day Fitness Challenge - Workout at Home,Love this! It's simple effective. Week 2 easy program I've lost 1.5 inches waist. I've recommended friends family. I even got husband workouts.,Positive,0.4145833333333333,0.6476190476190476,4.8
30 Day Fitness Challenge - Workout at Home,"I getting anywhere weight loss goal.....but husband introduced app, I achieved easily every amazed transformation.",Positive,0.4333333333333333,0.8333333333333334,4.8
30 Day Fitness Challenge - Workout at Home,"Great app, helps keep track workouts, gives tips exercises, workouts short get tired, lot ads",Positive,0.1333333333333333,0.5833333333333334,4.8
30 Day Fitness Challenge - Workout at Home,Just starting work slow I back injury great work pace,Positive,0.125,0.3125,4.8
30 Day Fitness Challenge - Workout at Home,"Great app, keeps motivated. Love 30 day challenge end sight, even 30 days again!",Positive,0.7125,0.675,4.8
30 Day Fitness Challenge - Workout at Home,Quick easy way work without go gym,Positive,0.3833333333333333,0.6666666666666667,4.8
30 Day Fitness Challenge - Workout at Home,I hate forces exercise everyday.,Negative,-0.5,0.75,4.8
30 Day Fitness Challenge - Workout at Home,help lot losing weight. i've using since early july currently losing 2 kg ++. hee pray keep losing weight!,Positive,0.05,0.35,4.8
30 Day Fitness Challenge - Workout at Home,I really love I like actually shows it!,Positive,0.25,0.35,4.8
30 Day Fitness Challenge - Workout at Home,There many ads. Apart workouts really effective. By 15th day noticeable changes seen.,Positive,0.55,0.65,4.8
30 Day Fitness Challenge - Workout at Home,This helped get back great shape! I often get complements toned I look.,Positive,0.5,0.375,4.8
30 Day Fitness Challenge - Workout at Home,Like workouts. Just wish variety workouts.,Neutral,0.0,0.0,4.8
30 Day Fitness Challenge - Workout at Home,"Great app, easy great combination exercises keeps things interesting!",Positive,0.6645833333333333,0.7083333333333334,4.8
30 Day Fitness Challenge - Workout at Home,It diet chart also. It helpful us. According everyone's need diet also necessary,Neutral,0.0,1.0,4.8
7 Minute Workout,"I like pace, variety I hear timer music playing (it mute music updates). Nice app!",Positive,0.75,1.0,4.5
7 Minute Workout,superb app...office goin staff...businessman....we have less time...15 mints exercise keep body fit....this acts like instructor...u enjoy it...good,Positive,0.4111111111111111,0.5222222222222223,4.5
7 Minute Workout,This great reminds workout. It tailored ability. I wish preview workouts video form starting workout.,Positive,0.4,0.425,4.5
7 Minute Workout,"So far good. It got everything I need simple, well illustrated exercises, lite & voice timing. It stays I might tempted get ad free version soon.",Positive,0.3,0.6892857142857143,4.5
7 Minute Workout,"I love app, really keeps motivated better physically super easy home.",Positive,0.3933333333333333,0.56,4.5
7 Minute Workout,Should put timmings hard plan 2 fr completed within 7 minutes idea wen rest within exercise,Negative,-0.2916666666666667,0.5416666666666666,4.5
7 Minute Workout,Few blips audio/images great quick way stay little active,Positive,0.1225,0.49,4.5
7 Minute Workout,I loved too much interesting easy without need go gym,Positive,0.5444444444444444,0.7111111111111111,4.5
7 Minute Workout,Just first time I feel exhausted~ good job...,Positive,0.1833333333333333,0.5444444444444444,4.5
7 Minute Workout,"Great app, 7 minutes definately makes sweat!",Positive,1.0,0.75,4.5
7 Minute Workout,It's good want exercise,Positive,0.7,0.6000000000000001,4.5
Calorie Counter - MyFitnessPal,That lot rate features. I everyday. One aspect missing I pay full version. I beginning bodybuilding bodybuilding workouts I burn probably additional 2 300 calories however count calorie burn strength training workouts. That important feature feature available I definitely pay full version,Positive,0.1571428571428571,0.5214285714285715,4.6
Calorie Counter - MyFitnessPal,"There's ""low carb"" option, lack ""net carbs"" showstopper. When looking documentation, appears 67 pages people requesting ability record net carbs. All responses state they'll look future. This seems like classic case company listening users.",Positive,0.0333333333333333,0.1183333333333333,4.6
Calorie Counter - MyFitnessPal,"Great app, works! I'm guessing update last day, total calories calculating properly. I 0 left macros, 100 calories left use. That can't right!? Please fix I'll happily review rating! Ps - especially frustrating, TWO paid subscriptions house.",Positive,0.1946428571428571,0.5127976190476191,4.6
Calorie Counter - MyFitnessPal,Everytime I try go Steps states error occurred won't sync step counting. Very frustrating. Calorie counting awesome. Just wish worked partly work isnt helpful could,Positive,0.24,1.0,4.6
Calorie Counter - MyFitnessPal,Since I first rated 4* back 2013 UA taken fat bloated features I want can't really avoid. The simplicity usefulness sacrificed style corporate self promotion. Currently trying alternatives unlikely come back.,Negative,-0.0071428571428571,0.2047619047619047,4.6
Calorie Counter - MyFitnessPal,"Great app, useful, incredible amount foods available, daily calorie fine tuning function goals nice functionality. However, frequent issues synching steps trackers frustrating prevent giving 5 stars.",Positive,0.3462962962962963,0.5277777777777778,4.6
Calorie Counter - MyFitnessPal,"Doesn't connect Google Fit track steps. I wanted try see I could track carbs without premium, that's available premium. Which like I'm using, connect Google Fit carbs still premium feature. Definitely reason other. :(",Positive,0.0541666666666666,0.5125000000000001,4.6
Calorie Counter - MyFitnessPal,"I love app. I Samsung phone naturally I also S Health, come close app. The complaint I (and big one) I can't submit daily diary I least X amount calories. I understand want eat X amount, choice. I able submit diary even I'm under. My body hungry still wanted eat more. I eat stomach growls I stop I'm satisfied. Right I'm morbidly obese, body asking much (trust plenty eat on), ask food feed it. Please fix issue I'll happy change review five stars.",Positive,0.2321428571428571,0.4633928571428571,4.6
Calorie Counter - MyFitnessPal,"A good help keep track your calorie intake. Only downside calculate calories burnt weightlifting. If get function working, I gladly buy premium.",Positive,0.3999999999999999,0.8666666666666667,4.6
Calorie Counter - MyFitnessPal,"Absolute junk. This program consistent issues syncing multiple devices. From problems Fitbit problems Garmin, problems Android wear problems scale syncing garmin connect....the key junk software MyFitnessPal.",Positive,0.1125,0.5375,4.6
Calorie Counter - MyFitnessPal,"I expect convenience paid app. If set calories macros targets %, input multiple 5. For example, set 35% 40% target macros. And need 37% - sorry, app. If decide set targets grams, can't input number, scroll. Which nightmare when, let's say, 30g carbs day, next refeed 250g carbs, go back low. Very inconvenient stupid ways inputs. Not mention app's default suggestions calories, macros, calories split meals others nonsense.",Negative,-0.2971428571428571,0.4714285714285714,4.6
Calorie Counter - MyFitnessPal,When worked great features. The problem? It work. It consistently crashed. After week fighting I ditched it. Too bad features would helpful.,Positive,0.1166666666666667,0.5555555555555555,4.6
Calorie Counter - MyFitnessPal,"Been using mfp long time. Presently 200 days row. Evidence shows I log I eating I keep control things body. When I stop logging, skinny jeans go back closet.",Negative,-0.0166666666666666,0.1333333333333333,4.6
Calorie Counter - MyFitnessPal,"Great concept layout however 3 days I've found several foods bar code scanned inaccurate nutritional data, knowledge there's way edit correct data without completely adding entry manually. Also disappointed even premium cant estimate calories burnt strength exercises, worse yet cant add edit value making pretty pointless even track point.",Negative,-0.0357142857142857,0.5714285714285714,4.6
Calorie Counter - MyFitnessPal,"This optimisation issue LG G4 phones. The result phone unable restart becomes stuck whilst booting. Once issue resolved I amend review. Here report log phone developer: art/dex2oat/dex2oat.cc:416] dex2oat finish 570 seconds 08-05 11:56:43.933 447 592 E ThermalEngine: ACTION: CLUSTER - Setting CLUSTER[1] 1248000 08-05 11:56:43.963 447 592 E ThermalEngine: ACTION: CLUSTER - Setting CLUSTER[1] 1344000 08-05 11:56:43.965 436 436 E installd: DexInv: --- END '/data/app/com.myfitnesspal.android-1/base.apk' --- status=0x0100, process failed",Negative,-0.2,0.25,4.6
Calorie Counter - MyFitnessPal,It keeps saying cannot connect server. I tried uninstalling restarting phone still luck. It's like since last night,Neutral,0.0,0.0666666666666666,4.6
Calorie Counter - MyFitnessPal,"I really liked able scan search huge database food adding easily many calories I consume but, I would like way keep track directly add calories I burned excercise without need another app. Since I already know much I burn excercises I did.",Positive,0.3833333333333333,0.5708333333333334,4.6
Calorie Counter - MyFitnessPal,I've used myfitnesspal since 2013. It's gotten better easier time passes. It easy even easier . I wish option mark day fasting day. Twice week 'dcolds' I've eaten enough.,Positive,0.3111111111111111,0.6111111111111112,4.6
Calorie Counter - MyFitnessPal,Finally sticking I started! Thanks Fitness Pal!,Positive,0.125,0.6,4.6
Calorie Counter - MyFitnessPal,It even let login. It keeps saying can't connect server. Fix it!,Neutral,0.0,0.0,4.6
Calorie Counter - MyFitnessPal,Couldn't even get passed log in. Tried two different emails even verifying I log in.. unfortunately,Negative,-0.25,0.8,4.6
Calorie Counter - MyFitnessPal,unusable. lags. tons ads . turns logging meal complicated frustrating procedure. hordid,Negative,-0.45,0.95,4.6
Calorie Counter - MyFitnessPal,"Fantastic, quick easy lost 1 stone weight can't complain, looking forward losing fun way",Positive,0.3666666666666667,0.6083333333333334,4.6
Calorie Counter - MyFitnessPal,Adding food getting logged properly.. need resolution please,Neutral,0.0,0.1,4.6
Calorie Counter - MyFitnessPal,There many ads get way. It's turned YouTube!,Positive,0.625,0.5,4.6
Calorie Counter - MyFitnessPal,Absolute joke! Can't even make account rubbish,Positive,0.25,0.9,4.6
Calorie Counter - MyFitnessPal,"I love app! It makes easy track food taking care newborn since many ways quickly add every brand food imaginable, including setting meals importing recipes minimal typing",Positive,0.3583333333333333,0.6066666666666667,4.6
Calorie Counter - MyFitnessPal,I eat thing every single morning I put tap I also eat similar things lunch dinner I put things together I go make I tap usually amounts day,Negative,-0.1071428571428571,0.2880952380952381,4.6
Calorie Counter - MyFitnessPal,I would prefer didnt purchases (subscription) good tried free month sure ill keep 10 bucks lot 5 would better.,Positive,0.32,0.7577777777777778,4.6
Calorie Counter - MyFitnessPal,"Awesome ! Keeps track food items, macros, exercise gives detailed list end week! Way better Weight Watchers !!!!",Positive,0.8333333333333334,0.75,4.6
Calorie Counter - MyFitnessPal,This would perfect tracked net carbs allowed calorie counts strength workouts.,Positive,0.5,0.5,4.6
Calorie Counter - MyFitnessPal,"The paid version great. Excellent charts help see percentages macros. Also good substitute ideas, selection groceries (info) seemingly limitless well. Best diet planner date!!!",Positive,0.875,0.6625,4.6
Calorie Counter - MyFitnessPal,No option build muscle slim,Neutral,0.0,0.0,4.6
Calorie Counter - MyFitnessPal,"The Food diary bit great, good, I keep uninstalling reinstall sync Strava, anything I put main",Positive,0.5555555555555556,0.5611111111111111,4.6
Calorie Counter - MyFitnessPal,Sucks even let get past email process... tired trying galaxy s9+,Negative,-0.3166666666666667,0.4166666666666667,4.6
Calorie Counter - MyFitnessPal,"Best I've used, wish pay monthly cheaper. So buying premium yet",Positive,1.0,0.3,4.6
Calorie Counter - MyFitnessPal,Will let log many attempts.,Positive,0.5,0.5,4.6
Calorie Counter - MyFitnessPal,This makes life much easier!!,Positive,0.3125,0.2,4.6
Calorie Counter - MyFitnessPal,Was working great update. Now open phone. Good job.,Positive,0.5,0.6166666666666667,4.6
Calorie Counter - MyFitnessPal,That lot rate features. I everyday. One aspect missing I pay full version. I beginning bodybuilding bodybuilding workouts I burn probably additional 2 300 calories however count calorie burn dur... Full Review,Positive,0.0749999999999999,0.4375,4.6
Calorie Counter - MyFitnessPal,"The great. The widget big though. It 3x2 min. It could easily 3x1 even 2x1. Please consider, thankyou.",Positive,0.4111111111111111,0.5611111111111111,4.6
Calorie Counter - MyFitnessPal,Users Personal info stolen via Database. Not good enough,Negative,-0.1166666666666666,0.4666666666666667,4.6
Calorie Counter - MyFitnessPal,Too many ads keeps starting I make comments.,Positive,0.25,0.3,4.6
Calorie Counter - MyFitnessPal,"Please add option to choose application language in the settings! I use cell phone in English, but I would like to use an application in Portuguese to facilitate searching for food day day.",Neutral,0.0,0.0,4.6
Calorie Counter - MyFitnessPal,Have able post pictures news feed.,Positive,0.5,0.625,4.6
Calorie Counter - MyFitnessPal,Very user friendly excellent tools track log food. I like location feature allows bring menu restaurant check food calories ordering.,Positive,0.525,0.6,4.6
Calorie Counter - MyFitnessPal,One best health there.,Positive,1.0,0.3,4.6
